osd_id|label|bioarchive_code|ena_acc|biosample_acc|start_lat|start_lon|stop_lat|stop_lon|water_depth|local_date|local_start|local_end|start_date_time_utc|end_date_time_utc|site_name|iho_label|mrgid|protocol|objective|platform|device|description|water_temperature|salinity|biome|biome_id|feature|feature_id|material|material_id|ph|phosphate|nitrate|carbon_organic_particulate|nitrite|carbon_organic_dissolved_doc|nano_microplankton|downward_par|conductivity|primary_production_isotope_uptake|primary_production_oxygen|dissolved_oxygen_concentration|nitrogen_organic_particulate_pon|meso_macroplankton|bacterial_production_isotope_uptake|nitrogen_organic_dissolved_don|ammonium|silicate|bacterial_production_respiration|turbidity|fluorescence|pigment_concentration|picoplankton_flow_cytometry|dist_coast_m|dist_coast_iso3_code|longhurst_code|longhurst_descr|longhurst_dist_degrees|lme_name|lme_dist_m
9|OSD9_2014-06-18_0m_NPL022|ABOKL81|ERS667658|SAMEA3275637|33.55|-118.4|33.55|-118.4|0|2014-06-18|20:18:00-08|20:27:00-08|2014-06-18T04:18:00+00|2014-06-18T04:27:00+00|SPOTS|North Pacific Ocean|1908|NPL022|The San Pedro Ocean Time-series station, or SPOT, is a long term study of the microbial and biogeochemical cycles in the San Pedro Basin off Southern California. Sampling for Ocean Sampling Day in June 2014 was performed at the SPOT station to maintain continuity and a broader ecological context for the solstice day. Many marine sites around the globe conducted sampling within this time frame of several days.|research vessel, R/V Yellowfin|5 gallon bucket|From the sample water, five sterivex filters and five 47mm 0.8um PC filters were collected. Volumes from 4-10L. |19.2|33.56|oceanic epipelagic zone biome|01000035|marine wind mixed layer|01000061|sea water|00002149|NaN|NaN|NaN|NaN|0|NaN|1269916760|2058.448|4.54|NaN|NaN|222.449|NaN|NaN|0.00476|NaN|0|NaN|3.57|NaN|0.03|NaN|NaN|13383|USA|CCAL|Coastal - California Upwelling Coastal Province|0|California Current|0
10|OSD10_2014-06-21_1m_NPL022|ABOKM00|ERS667657|SAMEA3275636|41.839834|-83.18995|41.839834|-83.18995|1|2014-06-21|15:50:00-05|17:00:00-05|2014-06-21T20:50:00+00|2014-06-21T22:00:00+00|Lake Erie W4|||NPL022|Collect surface water for OSD from a Laurentian Great Lake|RV Huron Explorer|20L carboy|Surface water samples from Lake Erie|22.4|0.14|Large lake biome|00000891|surface water|00002042|fresh water|00002011|8.78|NaN|NaN|NaN|NaN|NaN|NaN|NaN|284|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|2.06|NaN|11479|USA|||||
13|OSD13_2014-06-21_0m_NPL022|ABOKM46|ERS667655|SAMEA3275634|43.185000|27.936667|43.185000|27.936667|0|2014-06-21|08:30:00+02|08:45:00+02|2014-06-21T06:30:00+00|2014-06-21T06:45:00+00|Varna Bay|Black Sea|3319|NPL022|The link between bacterial diversity and microbial community function in the unique Black Sea is very interesting and important.|"research vessel ""Akademik"""|Nansen bottle| Pouring rain for days before sampling.|22.87|12.6|marine biome|00000447|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|779|BGR|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0.0190220727540869|Black Sea|0
14|OSD14_2014-06-23_2m_NPL022|ABOKN03|ERS667654|SAMEA3275633|42.49|3.15|42.49|3.14|2|2014-06-23|09:05:00+01|09:20:00+01|2014-06-23T08:05:00+00|2014-06-23T08:20:00+00|Banyuls|Mediterranean Sea - Western Basin|4279|NPL022|Time-series in North-West Mediterranean linking microbial community dynamics to biogeochemical function.|Research Vessel|CTD rosette equipped with 12 litre Niskins and seabird electronics|Samples were collected in 12 litre Niskins, stored in carboys and filtered in the laboratory to generate different size fractions.  Samples for community structure (5L) and metagenomics (10L) can be distinguished from sample container, filter type and volume filtered.|20.422|37.833|marine biome|00000447|surface water|00002042|sea water|00002149|8.278|0.01|0.02|1423.686|0.01|NaN|NaN|NaN|51.85|NaN|NaN|224.06|236.43|NaN|2.63|NaN|0.074|0.6|NaN|0.44|0.26|0.26|0|523|FRA|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0.00406472586303443|Mediterranean Sea|0
15|OSD15_2014-06-21_50m_NPL022|ABOKM50|ERS667652|SAMEA3275631|43.6861111|7.31567|43.6861111|7.31567|50|2014-06-21|08:30:05+01|11:30:00+01|2014-06-21T07:30:05+00|2014-06-21T10:30:00+00|Villefranche - SOMLIT|Mediterranean Sea - Western Basin|4279|NPL022|For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water|RV-TARA-Observatoire Oceanologique de Villefranche-Sur-Mer (OOV)|Niskin bottle and CTD|NW Mediterranea Sea-surface water sample form entreance of  Villefranche Bay|16.0522|37.981|marine biome|00000447|sea water|00002149|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|5.43573|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0.0936|NaN|NaN|529|FRA|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
15|OSD15_2014-06-21_0m_NPL022|ABOKM93|ERS667653|SAMEA3275632|43.6861111|7.31567|43.6861111|7.31567|0|2014-06-21|08:30:05+01|11:30:00+01|2014-06-21T07:30:05+00|2014-06-21T10:30:00+00|Villefranche - SOMLIT|Mediterranean Sea - Western Basin|4279|NPL022|For sequencing microbial biodiversity in a worldwide sampling campaign for microbial biodiversity within marine surface water|RV-TARA-Observatoire Oceanologique de Villefranche-Sur-Mer (OOV)|Niskin bottle and CTD|NW Mediterranea Sea-surface water sample form entreance of  Villefranche Bay|21.778|37.9702|marine biome|00000447|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|4.84812|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0.746|NaN|NaN|529|FRA|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
17|OSD17_2014-06-20_3m_NPL022|ABOKL99|ERS667651|SAMEA3275630|51.434733|2.810867|51.434733|2.810867|3|2014-06-20|08:00:22+01|08:00:22+01|2014-06-20T07:00:22+00|2014-06-20T07:00:22+00|VLIZ|North Sea|2350|NPL022|During Lifewatch monitoring campaign we sampled for OSD as well. |330 RV Simon Stevin|10L Niskin|water sample from 3 meters depth|16.6822|34.0252|marine biome|00000447|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|43.472|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|32.8782|NaN|NaN|NaN|22619|BEL|NECS|Coastal - NE Atlantic Shelves Province|0|North Sea|0
18|OSD18_2014-06-20_75m_NPL022|""|ERS667650|SAMEA3275629|35.363732|33.289649|35.362826|33.287118|75|2014-06-20|10:00:00+02|10:20:00+02|2014-06-20T08:00:00+00|2014-06-20T08:20:00+00|Kyrenia|Mediterranean Sea - Eastern Basin|4280|NPL022|To collect DNA samples from the marine ecosystem|Research Vessel Teal Jr|5l Niskin bottle|t|20.7|38.5|marine biome|00000447|surface water|00002042|sea water|00002149|8.37|0.03|0.2|NaN|0.05|NaN|NaN|NaN|NaN|NaN|NaN|8.02|NaN|NaN|NaN|NaN|0.96|1.13|NaN|NaN|NaN|NaN|NaN|2087|CYP|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
19|OSD19_2014-06-23_2m_NPL022|""|ERS667649|SAMEA3275628|35|33|35|33|2|2014-06-23|09:30:00+02|10:00:00+02|2014-06-23T07:30:00+00|2014-06-23T08:00:00+00|Famagusta|||NPL022|Not available|RV Security Ship|Ruttner Water Sampler|"Surface water of the site ""the Wall"" Famagusta."|29|39.1|marine biome|00000447|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0|CYP|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0.199135542397579||
20|OSD20_2014-06-20_20m_NPL022|ABOKN09|ERS667648|SAMEA3275627|64.208333|-22.015|64.208333|-22.015|20|2014-06-20|10:30:00+00|11:00:00+00|2014-06-20T10:30:00+00|2014-06-20T11:00:00+00|Faxafloi|North Atlantic Ocean|1912|NPL022|Microbial diversity|Small research vessel|Sampler|No comment|11|31.2|marine biome|00000447|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|5090|ISL|SARC|Polar - Atlantic Subarctic Province|0|Iceland Shelf and Sea|0
20|OSD20_2014-06-20_0m_NPL022|ABOKM41|ERS667647|SAMEA3275626|64.208333|-22.015|64.208333|-22.015|0|2014-06-20|10:30:00+00|10:50:00+00|2014-06-20T10:30:00+00|2014-06-20T10:50:00+00|Faxafloi|North Atlantic Ocean|1912|NPL022|Microbial diversity|Small research vessel|bucket|Samples were filtered onboard|11|31.2|marine biome|00000447|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|5090|ISL|SARC|Polar - Atlantic Subarctic Province|0|Iceland Shelf and Sea|0
21|OSD21_2014-06-21_0m_NPL022|ABOKL42|ERS667646|""|45.08|13.61|45.08|13.61|0|2014-06-21|11:55:00+01|12:05:00+01|2014-06-21T10:55:00+00|2014-06-21T11:05:00+00|Croatia|Adriatic Sea|3314|NPL022|Monthly monitoring|Burin|Niskin|Seawater |19.5|37.1|mediterranean sea biome|01000047|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|1559|HRV|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
22|OSD22_2014-06-23_1m_NPL022|ABOKL65|ERS667645|SAMEA3275625|43.22639|5.1746|43.22639|5.1746|1|2014-06-23|09:00:00+01|09:05:00+01|2014-06-23T08:00:00+00|2014-06-23T08:05:00+00|Marseille Solemio SOMLIT|Mediterranean Sea - Western Basin|4279|NPL022|Solemio station (SOMLIT site)|NO ANTEDON II|CTD rosette + 2 Niskin bottles|1st Niskin (18L) for Sterivex filtration.|21.9952|38.0871|mediterranean sea biome|01000047|surface water|00002042|sea water|00002149|NaN|0.16|0.026|NaN|0|NaN|NaN|1335.2|53.85|NaN|NaN|4.941|NaN|NaN|NaN|NaN|0.025|1.729|NaN|2.436|NaN|2.8|NaN|10195|FRA|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
24|OSD24_2014-06-21_0m_NPL022|ABOKM32|ERS667644|SAMEA3275624|35.1927|-2.88005|35.1927|-2.88005|0|2014-06-21|12:30:00+00|14:00:00+00|2014-06-21T12:30:00+00|2014-06-21T14:00:00+00|Marchica|Alboran Sea|3324|NPL022|Exploring biodiversity|Ship MarchicaMed|Bottle 5L|water sample|26.5|36|mediterranean sea biome|01000047|brackish estuary|00002137|coastal sea water|00002150|7.89|0.25|12.5|NaN|0.2|1150|NaN|NaN|52.03|NaN|NaN|7.78|NaN|NaN|NaN|NaN|NaN|NaN|NaN|3.62|NaN|NaN|NaN|2362|MAR|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
25|OSD25_2014-06-21_0m_NPL022|ABOKM23|ERS667643|SAMEA3275623|35.086353|-2.214658|35.086353|-2.214658|0|2014-06-21|10:00:00+01|11:00:00+01|2014-06-21T09:00:00+00|2014-06-21T10:00:00+00|Saidia Rocher|Alboran Sea|3324|NPL022|exploring biodiversity|ship|bottle 5L|water samples|23.1|30|mediterranean sea biome|01000047|surface water|00002042|coastal sea water|00002150|8.03|0.16|0.67|243|0.01|475|NaN|NaN|51.1|NaN|NaN|7|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0.18|NaN|0|MAR|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
26|OSD26_2014-06-21_0m_NPL022|ABOKM48|ERS667642|SAMEA3275622|35.82|-5.75|35.82|-5.75|0|2014-06-21|12:45:00+00|15:00:00+00|2014-06-21T12:45:00+00|2014-06-21T15:00:00+00|Tangier|Strait of Gibraltar|3346|NPL022|Exploring biodiversity|Ship|Bottle 5L|water sample|28|34.19|mediterranean sea biome|01000047|surface water|00002042|sea water|00002149|7.69|NaN|NaN|NaN|NaN|NaN|NaN|NaN|49.7|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|216|MAR|CNRY|Coastal - Canary Coastal Province (EACB)|0|Canary Current|0
28|OSD28_2014-06-21_0.2m_NPL022|ABOKM37|ERS667641|SAMEA3275621|16.802575|88.08165|16.802575|88.08165|0.2|2014-06-21|10:15:00+06|10:20:00+06|2014-06-21T04:15:00+00|2014-06-21T04:20:00+00|Belize|Bay of Bengal|4273|NPL022|Sample microbial diversity|wading, on foot|acid-washed bucket|Surface water from back reef environment in close proximity to mesoamerican reef crest.|29.5|35|marine reef biome|01000029|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|392876|IND|MONS|Trades - Indian Monsoon Gyres Province|0|Bay of Bengal|0
29|OSD29_2014-06-21_0.2m_NPL022|ABOKM97|ERS667640|SAMEA3275620|27.4694|-80.283366|27.4694|-80.283366|0.2|2014-06-21|10:00:00-05|10:15:00-05|2014-06-21T15:00:00+00|2014-06-21T15:15:00+00|Florida|North Atlantic Ocean|1912|NPL022|sample microbial diversity|research vessel|acid-washed buckets|Sample taken outside the Fort Pierce Inlet on the Atlantic ocean, in about 25' of water.|26.9|35.7|marine biome|00000447|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|5.6|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|524|USA|NWCS|Coastal - NW Atlantic Shelves Province|0|Southeast U.S. Continental Shelf|0
30|OSD30_2014-06-20_2m_NE08|ABOKM77|ERS667639|""|59.8822|23.2538|59.8822|23.2538|2|2014-06-20|10:15:00+02|11:15:00+02|2014-06-20T08:15:00+00|2014-06-20T09:15:00+00|Tvärminne|Gulf of Finland|2407|NE08|The sampling site is situated in the northern Baltic Sea, and represents a marginal (enclosed, seasonally ice covered) and ecologically extreme (permanently low salinities) marine environment. It will be interesting to see this reflected in the community and metagenomic data|small motor boat|LIMNOS water sampler|coastal water taken from a deep furrow stretching into the open Baltic|10.5|5.63|marine biome|00000447|surface water|00002042|sea water|00002149|7.85|0.2|NaN|NaN|NaN|NaN|NaN|NaN|7.203|NaN|NaN|10.46|NaN|NaN|NaN|NaN|NaN|8.1|NaN|NaN|NaN|NaN|NaN|1297|FIN|NECS|Coastal - NE Atlantic Shelves Province|0.0300043572248506|Baltic Sea|0
30|OSD30_2014-06-20_2m_NPL022|ABOKL95|ERS667638|""|59.8822|23.2538|59.8822|23.2538|2|2014-06-20|10:15:00+02|11:15:00+02|2014-06-20T08:15:00+00|2014-06-20T09:15:00+00|Tvärminne|Gulf of Finland|2407|NPL022|The sampling site is situated in the northern Baltic Sea, and represents a marginal (enclosed, seasonally ice covered) and ecologically extreme (permanently low salinities) marine environment. It will be interesting to see this reflected in the community and metagenomic data|small motor boat|LIMNOS water sampler|pooled sea water sample from several Limnos takes|10.5|5.63|marine pelagic biome|01000023|surface water|00002042|sea water|00002149|7.85|0.2|NaN|NaN|NaN|NaN|NaN|NaN|7.203|NaN|NaN|10.46|NaN|NaN|NaN|NaN|NaN|8.1|NaN|NaN|NaN|NaN|NaN|1297|FIN|NECS|Coastal - NE Atlantic Shelves Province|0.0300043572248506|Baltic Sea|0
31|OSD31_2014-06-12_1m_NPL022|""|ERS667637|SAMEA3275619|-34.0833|151.2500|-34.0833|151.2500|1|2014-06-12|21:20:00+10|22:36:00+10|2014-06-12T11:20:00+00|2014-06-12T12:36:00+00|Port Hacking|South Pacific Ocean|1910|NPL022|IMOS National Reference Stations - OSD|Research vessel, Zelda Faith|10 L bucket|marine surface water|20.1183|35.4964|marine pelagic biome|01000023|surface water|00002042|sea water|00002149|NaN|0.1206|0.2451|NaN|NaN|NaN|NaN|NaN|48.64563|NaN|NaN|235.999487|NaN|NaN|NaN|NaN|0.033|0.3693|NaN|NaN|3.6457|NaN|NaN|5514|AUS|AUSE|Coastal - East Australian Coastal Province|0|East Central Australian Shelf|0
32|OSD32_2014-06-23_1m_NPL022|""|ERS667636|SAMEA3275618|-27.342|153.5622|-27.2000|153.3373|1|2014-06-23|01:20:00+10|01:30:00+10|2014-06-23T15:20:00+00|2014-06-23T15:30:00+00|North Stradbroke|South Pacific Ocean|1910|NPL022|IMOS National Reference Stations - OSD|Research vessel, Scylla|10 L Niskin|marine surface water|23.4|35.391|marine pelagic biome|01000023|surface water|00002042|sea water|00002149|NaN|0.0693|0.0665|NaN|NaN|NaN|NaN|NaN|51.91549|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0.048|0.2857|NaN|NaN|0.1933|NaN|NaN|9573|AUS|AUSE|Coastal - East Australian Coastal Province|0|East Central Australian Shelf|0
33|OSD33_2014-06-19_1m_NPL022|""|ERS667635|SAMEA3275617|-42.5966|148.2333|-42.5966|148.2333|1|2014-06-19|01:35:00+10|01:45:00+10|2014-06-19T15:35:00+00|2014-06-19T15:45:00+00|Maria Island|South Pacific Ocean|1910|NPL022|IMOS National Reference Stations - OSD|Research vessel, South Cape|5 L Niskin|marine surface water|13.9045|35.3598|marine pelagic biome|01000023|surface water|00002042|sea water|00002149|NaN|0.3081|3.0343|NaN|NaN|NaN|NaN|NaN|42.29881|NaN|NaN|250.271724|NaN|NaN|NaN|NaN|0.0214|0.6984|NaN|NaN|0.1442|NaN|NaN|8358|AUS|SSTC|Westerlies - S. Subtropical Convergence Province|0|Southeast Australian Shelf|0
34|OSD34_2014-06-21_0m_NPL022|ABOKM65|ERS667634|SAMEA3275616|31.21667|29.96667|31.21667|29.96667|0|2014-06-21|11:30:00+02|12:30:00+02|2014-06-21T09:30:00+00|2014-06-21T10:30:00+00|Alexandria|Mediterranean Sea - Eastern Basin|4280|NPL022|The overall objective is a description of the microbial diversity of multiple points of world oceans at a synchronized and single point of time.|500 m of shore of the Mediterranean Sea|5 Liter plastic jug|sea water|27|36|marine biome|00000447|surface water|00002042|sea water|00002149|8.01|NaN|NaN|NaN|NaN|NaN|NaN|NaN|57.4|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0|EGY|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0.0276120400825503|Mediterranean Sea|2782
