00000072	aquaduct	Structure designed to transport water from a remote source, usually by gravity.	false
00000073	building	A permanent walled and roofed construction.	false
00000074	dam	A barrier constructed across a watercourse to control the flow or raise the level of water.	false
00000075	bridge	A built structure erected over a depression or obstacle to carry traffic or some facility such as a pipeline.	false
00000076	mine	An excavation in the Earth for the purpose of extracting earth materials.	false
00000077	agricultural feature		false
00000078	farm	A tract of crop or grazing land, as well as the group of buildings with and often surrounding a farmhouse, including barns, sheds, and other outbuildings, used for agricultural production.	false
00000079	flume	An open artificial water channel, that leads water from a diversion dam or weir completely aside a natural flow, often an elevated box structure (typically wood) that follows the natural contours of the land.	false
00000080	mountain range	A series of connected and aligned mountains or mountain ridges.	false
00000081	mountain	A landform that extends above the surrounding terrain in a limited area. A mountain is generally steeper than a hill, but there is no universally accepted standard definition for the height of a mountain or a hill although a mountain usually has an identifiable summit and a local relief of more than 300m.	false
00000082	hill range	A group of hills bordered by lowlands.	false
00000083	hill	A rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m.	false
00000084	mountain pass	A lower point that allows easier access through a mountain range. A pass has the general form of a saddle between two mountains.	false
00000085	alpine glacier	A glacier found in mountain terrain.	false
00000086	plain	A region of general uniform slope, comparatively level, and of considerable extent.	false
00000087	cliff	A high, steep, or overhanging face of rock.	false
00000088	sea cliff	A cliff that is a margin of a sea or ocean.	false
00000089	inland cliff		false
00000090	coastal plain	An area of flat, low-lying land adjacent to a seacoast and separated from the interior by other features.	false
00000091	beach	A landform consisting of loose rock particles such as sand, gravel, shingle, pebbles, cobble, or even shell fragments along the shoreline of a body of water.	false
00000092	sea beach	A landform consisting of loose rock particles such as sand, gravel, shingle, pebbles, cobble, or even shell fragments along the shoreline of a sea.	false
00000093	lacustrine beach	A landform consisting of loose rock particles such as sand, gravel, shingle, pebbles, cobble, or even shell fragments along the shoreline of a lake.	false
00000094	volcanic feature	A feature associated with a volcano, an opening, or rupture, in the Earth's surface or crust, which allows hot, molten rock, ash and gases to escape from deep below the surface.	false
00000095	obsolete lava field	A feature formed by cooled lava, the molten rock that is expelled by a volcano during an eruption.	true
00000096	caldera	A feature formed by the collapse of land following a volcanic eruption.	false
00000097	desert	A region rendered barren or partially barren by environmental extremes, especially by low rainfall.	false
00000098	island	Area of dry or relatively dry land surrounded by water or low wetland.	false
00000099	artificial island	An island constructed by human effort.	false
00000100	valley	A depression caused by erosion by water or ice. Low-lying land bordered by higher ground; especially elongate, relatively large gently sloping depressions of the Earth's surface, commonly situated between two mountains or between ranges of hills or mountains, and often containing a stream with an outlet.	false
00000101	delta	A tract of alluvium formed at the mouth of a river where the deposition ofsome of its load exceeds its rate of removal, crossed by the divergent channels (distributaries) of the river.	false
00000102	cave entrance		false
00000103	mangrove island	An island formed of trees and shrubs that grow in saline coastal habitats in the tropics and subtropics.	false
00000104	undersea feature		false
00000105	lake surface		false
00000106	grassland	An area in which grasses (Graminae) are a significant component of the vegetation.	false
00000107	heath	An upland moor or sandy area dominated by low shrubby vegetation including heather.	false
00000108	meadow	A habitat of rolling or flat terrain where grasses predominate. Typically, what is called a meadow has more biodiversity than a grassland as the former contains not only grasses but a significant variety of annual, biennial and perennial plants.	false
00000109	woodland	Land having a cover of trees, shrubs, or both.	false
00000110	lava tunnel	A tunnel formed by the flow of molten lava, which has subsequently drained out.	false
00000111	forest	An area with a high density of trees. A small forest may be called a wood.	false
00000112	tundra	Treeless, level, or gently rolling plains characteristic of arctic or subarctic regions, having a permanently frozen subsoil, and usually supporting low growing vegetation such as lichens, mosses, and stunted shrubs.	false
00000113	cultivated habitat	A geographical feature modified by humans by the preparation of the land, usually for the purposes of growing crops.	true
00000114	agricultural field	An area of land, usually relatively small, enclosed or otherwise and used for agricultural purposes.	false
00000115	orchard	An intentional planting of trees or shrubs maintained for food, typically fruit, production.	false
00000116	vineyard	A place where grapes are grown for making wine, raisins or table grapes.	false
00000117	plantation	An intentional planting of a crop, on a large scale, usually for uses other than cereal production or pasture. The term is currently most often used for plantings of trees and shrubs. The term tends also to be used for plantings maintained on economic bases other than that of subsistence farming.	false
00000118	coconut plantation		false
00000119	planted forest	A forest that has been intentionally established by human intervention.	false
00000120	oil palm plantation		false
00000121	artificial channel		false
00000122	track	A small road, generally not paved.	false
00000123	political entity	A geographical region whose affairs and population are administered by an authority.	false
00000124	supranational geopolitical entity	A political entitity established by more than one state and with at least some influence over the affairs of its member states.	false
00000125	mineral spring	A spring whose water contains a significant amount of dissolved minerals, that derive from the rocks through which the water flows.	false
00000126	sulfur spring	A spring whose water contains a significant amount of dissolved derivatives of sulfur.	false
00000127	badland	An arid terrain with clay-rich soil that has been extensively eroded by wind and water.	false
00000128	dry valley	A valley that no longer has a surface flow of water. Typically found in either Karst (limestone) or chalk terrain.	false
00000129	stream valley	A valley that contains, and has been formed by, a stream.	false
00000130	reef	A ridge of rocks, lying near the surface of the sea, which may be visible at low tide, but is usually covered by water.	false
00000131	glacial feature	A hydrographic feature characterized by the dominance of snow or ice.	false
00000132	ice sheet	A mass of glacier ice that covers surrounding terrain and is greater than 50,000 km2.	false
00000133	glacier	A large, slow moving river of ice, formed from compacted layers of snow, that slowly deforms and flows in response to gravity.	false
00000134	permafrost	Soil at or below the freezing point of water (0C or 32F) for two or more years. Ice is not always present, as may be in the case of nonporous bedrock, but it frequently occurs and it may be in amounts exceeding the potential hydraulic saturation of the ground material.	false
00000135	buffer zone	A geographical region that serves the purpose of keeping two or more other areas (often, but not necessarily, countries) distant from one another, for whatever reason.	false
00000136	demilitiarized zone	A geographical area, usually the frontier or boundary between two or more military powers (or alliances), where military activity is not permitted, usually by peace treaty, armistice or other bilateral or multilateral agreement.	false
00000137	coastal inlet	An opening of the sea into the land.	false
00000138	cove	A circular or round inlet with a narrow entrance.	false
00000139	irrigation ditch	A ditch that supplies water to surrounding land.	false
00000140	drainage ditch	A ditch that collects water from the surrounding land.	false
00000141	bank	The sloping margin of a watercourse, serving to confine it to its natural channel.	false
00000142	stream bank	The sloping margin of a stream, serving to confine it to its natural channel.	false
00000143	river bank	The sloping margin of a river, serving to confine it to its natural channel.	false
00000144	aquatic habitat	A habitat that is in or on water.	true
00000145	ice cap	A dome-shaped ice mass that covers less than 50,000 km2 of land area (usually covering a highland area).	false
00000146	snow field	A region of permanent snow in mountainous areas or high latitudes.	false
00000147	ocean current	The region occupied by any more or less continuous, directed movement of ocean water that flows in one of the Earth's oceans. Ocean Currents are rivers of hot or cold water within the ocean. The currents are generated from the forces acting upon the water like the earth's rotation, the wind, the temperature and salinity differences and the gravitation of the moon. The depth contours, the shoreline and other movements influence the direction and strength of the movements of water that forms a given current.	false
00000148	riffle	A shallow stretch of a river or stream, where the current is above the average stream velocity and where the water forms small rippled waves as a result. It often consists of a rocky bed of gravels or other small stones.	false
00000149	artificial reef	Chains of rocks or coral at or near the surface of water constructed by man.	false
00000150	coral reef	Aragonite structures produced by living organisms, found in shallow, marine waters with little nutrients in the water.	false
00000151	sabkha	An alkaline flat, in the context of a marine environment.	false
00000152	anabranch	A section of a river or stream that diverts from the main course and rejoins later.	false
00000153	headwater	The upper part of a river system, denoting the upper basin and source streams of a river.	false
00000154	flood meadow	An area of grassland or pasture beside a river, subject to seasonal flooding.	false
00000155	cirque	A deep natural hollow near the crest of a mountain, usually formed by a glacier.	false
00000156	desert oasis	A small, isolated, fertile or green area in a desert region, usually having a spring or well.	false
00000157	peat cut	An artificial working of peatland to remove the peat.	false
00000158	causeway	A road or railway elevated by a bank, usually across a broad body of water or wetland.	false
00000159	sugar plantation		false
00000160	sisal plantation		false
00000161	banana plantation		false
00000162	tea plantation		false
00000163	coffee plantation		false
00000164	rubber plantation		false
00000165	asphalt lake	A lake formed of a natural deposit of alphalt, a black, highly viscous liquid or semi-solid composed of fossil hydrocarbons.	false
00000166	atoll	An oceanic island, often having a characteristic ring-like shape surrounding a lagoon. Atolls are formed when coral reef grows around a volcanic island that later subsides into the ocean.	false
00000167	bar	A linear shoaling landform feature within a body of water. Bars tend to be long and narrow (linear) and develop where a current (or waves) promote deposition of granular material, resulting in localized shallowing (shoaling) of the water. Bars can appear in the sea, in a lake, or in a river. They are typically composed of sand, although could be of any granular matter that the moving water has access to and is capable of shifting around (for example, soil, silt, gravel, cobble, shingle, or even boulders). The grain size of the material comprising a bar is related: to the size of the waves or the strength of the currents moving the material, but the availability of material to be worked by waves and currents is also important.	false
00000168	blowhole	A hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air.	false
00000169	canyon	Relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope.	false
00000170	dune	A hill of sand built by eolian processes.	false
00000171	river valley	A valley that contains, and has been formed by, a river.	false
00000172	sandy desert	A desert plain characterized by a surface veneer of sand.	false
00000173	rocky desert	A desert plain characterized by a surface veneer of rock.	false
00000174	isthmus	Narrow section of land in a body of water connecting two larger land areas.	false
00000175	karst	A feature shaped by the dissolution of a soluble layer or layers of bedrock, usually carbonate rock such as limestone or dolomite. These landscapes display distinctive surface features and underground drainages, and in some examples there may be little or no surface drainage.	false
00000176	elevation	A landform elevated above the surrounding area.	false
00000177	moraine	An accumulation of boulders, stones, or other debris carried and deposited by a glacier.	false
00000178	levee	An artificial slope or wall, usually earthen, which parallels the course of a river, built for the purpose of containing the river.	false
00000179	mesa	An elevated area of land with a flat top and sides that are usually steep cliffs. Mesas form in areas where horizontally layered rocks are uplifted by tectonic activity.	false
00000180	mound	A rounded elevated area.	false
00000181	nunatak	The exposed summit of a ridge, mountain, or peak not covered with ice or snow within an ice field or glacier. The term is typically used in areas where a permanent ice mass is present.	false
00000182	plateau	An elevated and comparatively level expanse of land.	false
00000183	stony desert	A desert plain characterized by a surface veneer of gravel or stones.	false
00000184	hanging valley	A tributary valley with the floor at a higher relief than the main channel into which it flows. They are most commonly associated with U-shaped valleys when a tributary glacier flows into a glacier of larger volume.	false
00000185	raised mire	Rain-fed, potentially deep peatlands occurring principally in lowland areas across much of Northern Europe, as well as in the former USSR, North America and parts of the southern hemisphere.	false
00000186	string mire	Flat or concave peatlands with a string-like pattern of hummocks (hence the name), found principally in northern Scandinavia but occurring in the western parts of the former USSR and in North America. A few examples exist in northern Britain.	false
00000187	tundra mire	Peatlands with a shallow peat layer, only about 500 mm thick, dominated by sedges and grasses. They form in permafrost areas, covering around 110,000 to 160,000 km2 in Alaska, Canada, and the former USSR.	false
00000188	paisa mire	Peatland typified by characteristic high mounds, each with a permanently frozen core, with wet depressions between the mounds. These develop where the ground surface is frozen only for part of the year, and are common in the former USSR, Canada and parts of Scandinavia.	false
00000189	peat swamp	Forested peatlands including both rain- and groundwater-fed types, commonly recorded in tropical regions with high rainfall. This type of peatland covers around 350,000 km2, primarily in south-east Asia but also occurring in the Everglades in Florida.	false
00000190	abyssal feature	Feature on the ocean floor at a depth of 3500 - 6000 meters.	false
00000191	physiographic feature		false
00000192	mudflat	A wetland that forms when mud is deposited by the tides, rivers, sea or oceans.	false
00000193	olive grove		false
00000194	scree	Broken rock that appears at the bottom of crags, mountain cliffs or valley shoulders.	false
00000195	sinkhole	A natural depression or hole in the surface topography caused by the removal of soil or bedrock, often both, by water. Sinkholes may vary in size from less than a meter to several hundred meters both in diameter and depth, and vary in form from soil-lined bowls to bedrock-edged chasms.	false
00000196	alkaline flat	A dry lakebed consisting of fine-grained sediments infused with alkali salts. Generally the shore or bed of an endorheic lake.	false
00000197	endorheic lake	A lake from which there is no outflow of water, either on the surface as rivers, or underground by flow or diffusion through rock or permeable material.	false
00000198	subglacial lake	A lake permanently covered by ice.	false
00000199	meromictic lake	A lake which has layers of water which do not intermix. The deepest layer of water in such a lake does not contain any dissolved oxygen. The layers of sediment at the bottom of a meromictic lake remain relatively undisturbed because there are no living organisms to stir them up.	false
00000200	periglacial lake	A lake, part of whose margin is formed by an ice mass, ice cap or glacier, the ice having obstructed the natural drainage of the land.	false
00000201	fjord lake	A lake in a glacially eroded valley, which has been eroded below sea level.	false
00000202	oxbow lake	A lake which is formed when a wide meander from a stream or a river is cut off to form a lake. They are called oxbow lakes due to the distinctive curved shape that results from this process.	false
00000203	rift lake	A lake which forms as a result of subsidence along a geological fault in the Earth's tectonic plates.	false
00000204	ephemeral spring	A spring whose flow is intermittent.	false
00000205	permanent spring	A spring whose flow is continuous.	false
00000206	neritic zone	The water mass of an ocean directly above a continental shelf.	false
00000207	oceanic zone	The water mass of an ocean that is not above a continental shelf.	false
00000208	pelagic zone	An open ocean region.	false
00000209	photic zone	The zone of an ocean from the surface to where photosynthesis can occur, due to the penetration of light.	false
00000210	aphotic zone	The zone of an ocean below 200m, in which photosynthesis cannot occur due to the lack of light.	false
00000211	bathypelagic zone	The one of an ocean below the 10degC thermocline down to a temperature of 4degC.	false
00000212	abyssalpelagic zone	The zone of the ocean below the bathypelagic zone, with its lowest boundary at about 6000m.	false
00000213	mesopelagic zone	The zone of an ocean immediately below the photic zone down to a depth where the water temperature is 10degC (the thermocline).	false
00000214	hadalpelagic zone	The zone of an ocean in oceanic trenches, lying between 6000m and 10,000m.	false
00000215	hydrothermal vent	A fissure in the Earths's surface from which geothermally heated water issues.	false
00000216	fumarole	A hole in the Earth's crust from which steam and gases are emitted.	false
00000217	solfatara	A fumarole that emits sulfurous gases.	false
00000218	black smoker	A hydrothermal vent found on the ocean floor. The vents are formed in fields hundreds of meters wide when superheated water from below the Earth's crust comes through the ocean floor. The superheated water is rich in dissolved minerals from the crust, most notably sulfides, which crystallize to create a chimney-like structure around each vent. When the superheated water in the vent comes in contact with the cold ocean water, many minerals are precipitated, creating the distinctive black color. The metal sulfides that are deposited can become massive sulfide ore deposits in time.	false
00000219	landlocked sea	A sea that is not connected with an ocean.	false
00000220	archipelago	A group of geographically or geologically associated islands.	false
00000221	continental island	An island that lies on a continental shelf.	false
00000222	oceanic island	An island that does not sit on a continental shelf, and is of volcanic origin.	false
00000223	continental shelf	The extended perimeter of each continent, which is covered during interglacial periods such as the current epoch by relatively shallow sea.	false
00000224	slightly stratified estuary	An estuary whose river output is less than the marine input. Here, turbulence causes mixing of the whole water column, such that salinity varies more longitudinally rather than vertically.	false
00000225	highly stratified estuary	An estuary whose river output and marine input are more even, with river flow still dominant; turbulence induces more mixing of salt water upward than the reverse.	false
00000226	saline wedge estuary	An estuary whose river output greatly exceeds marine input; there is little mixing, and thus a sharp contrast between fresh surface water and saline bottom water.	false
00000227	vertically mixed estuary	An estuary whose river output is less than the marine input. Here, turbulence causes mixing of the whole water column, such that salinity varies more longitudinally rather than vertically.	false
00000228	inverse estuary	An estuary located in regions with high evaporation, there is no freshwater input and in fact salinity increases inland; overall flow is inward at the surface, downwells at the inland terminus, and flows outward subsurface.	false
00000229	intermittent estuary	An estuary that varies dramatically depending on freshwater input, and is capable of changing from a wholly marine embayment to any of the other estuary types.	false
00000230	coastal wetland	A wetland associated with the part of the land adjoining or near a sea or ocean.	false
00000231	moor	A wetland found in upland areas, characterised by acidic soils.	false
00000232	fen	A freshwater peat land with chemically basic (which roughly means alkaline) ground water.	false
00000233	swamp	A wetland that features permanent inundation of large areas of land by shallow bodies of water, generally with a substantial number of hummocks, or dry-land protrusions.	false
00000234	bayou	A small, slow-moving stream or creek; usually located in low-lying areas.	false
00000235	carr	A fen which has developed to the point where it supports trees.	false
00000236	dambo	A class of complex shallow wetlands in central, southern and eastern Africa, particularly in Zambia and Zimbabwe. They are generally found in higher rainfall flat plateau areas, and have river-like branching forms which may be nowhere very large, but common enough to add up to a large area.	false
00000237	hydromorphic/phreatic dambo	A danbo associated with a headwater.	false
00000238	fluvial dambo	A dambo associated with a river.	false
00000239	pocasin	A palustrine wetland with deep, acidic, sandy, peat soils. Groundwater saturates the soil except during brief seasonal dry spells and during prolonged droughts. Pocosin soils are nutrient deficient (oligotrophic), especially in phosphorus.	false
00000240	saline wetland		false
00000241	tidal mudflat	A level tract lying at a small depth below the surface of water, or alternately covered and left bare by the tide.	false
00000242	lacustrine mudflat	A wetland that forms when mud is deposited by a stream.	false
00000243	freshwater wetland	A wetland whose water that contains low concentrations of salts.	false
00000244	abyssal plain	A flat or very gently sloping areas of the deep ocean basin floor.	false
00000245	maar	A broad, low relief crater that results from a phreatic eruption or explosion caused by groundwater contact with hot lava or magma. The maar typically fills with water to form a relatively shallow crater lake.	false
00000246	volcanic crater	A crater formed by a volcano, within which occurs a vent (or vents) from which magma erupts as gases, lava, and ejecta.	false
00000247	volcano	An opening, or rupture, in the Earth's surface or crust, which allows hot, molten rock, ash and gases to escape from deep below the surface.	false
00000248	glacial valley	A valley that contains, or contained, a glacier and was formed by glacial activity. Typically U-shaped in cross-section.	false
00000249	lateral moraine	The parallel ridges of till deposited along the sides of an alglacier. The unconsolidated debris is deposited on top of the glacier by frost shattering of the valley walls and from tributary streams flowing into the valley. The till is carried along the glacial margin until the glacier melts.	false
00000250	medial moraine	A moriane formed when the inside lateral moraines of two glaciers merge together. They form a ridge down the center of the combined glaciers.	false
00000251	ground moraine	A till covered area with irregular topography and no ridges, often forming gently rolling hills or plains. Forms by the accumulation of till under the ice by lodgement, but may also be deposited as the glacier retreats.	false
00000252	terminal moraine	Ridges of unconsolidated debris deposited at the snout or end of the glacier. They usually reflect the shape of the glacier's terminus.	false
00000253	scroll plane	A plain where a stream meanders across an area with a very low gradient, usually with a fairly continuous discharge. In addition to meanders, scroll plains are also characterised by many oxbow lakes.	false
00000254	till plan	An extensive flat plain of glacial till that forms when a sheet of ice becomes detached from the main body of a glacier and melts in place depositing the sediments it carried.	false
00000255	flood plain	An area which is subject to periodic flooding.	false
00000256	floodway	The stream channel and adjacent areas that carry flood flows in a flood plain.	false
00000257	flood fringe	Area of a flood plane covered by the flood, but which does not experience a strong current.	false
00000258	alluvial plain	Arelatively flat and gently sloping landform found at the base of a range of hills or mountains, formed by the deposition of alluvial soil over a long period of time by one or more streams coming from the mountains.	false
00000259	lacustrine plain	A plain that originally formed in a lacustrine environment, that is, as the bed of a lake, but from which the water has disappeared, by natural drainage, evaporation or other geophysical processes.	false
00000260	prairie	An area of land of low topographic relief that historically supported grasses and herbs, with few trees, and having generally a mesic (moderate or temperate) climate. Dominated by tall grasses (contrast steppe).	false
00000261	savanna	A grassland of the tropics or subtropics with scattered trees.	false
00000262	steppe	A plain without trees (apart from those near rivers and lakes); it is similar to a prairie, although a prairie is generally considered as being dominated by tall grasses, while short grasses are said to be normal in the steppe. It may be semi-desert, or covered with grass or shrubs or both, depending on the season and latitude.	false
00000263	fissure cave	A narrow, verical cave passage, often developed along a joint but not necessarily so. Usually due to solution but sometimes to tension.	false
00000264	seamount	A mountain rising from the ocean seafloor that does not reach to the water's surface (sea level), and thus is not an island. Typically formed from volcanoes that rise abruptly and are usually found rising from a seafloor of 1,000 - 4,000 meters depth. Independent features that rise to at least 1,000 meters above the seafloor.	false
00000265	guyot	A flat-topped seamount.	false
00000266	pasture	Grassland used for grazing of ungulate livestock as part of a farm or ranch.	false
00000267	submarine canyon	A steep-sided valley on the sea floor of the continental slope. Many submarine canyons are found as extensions to large rivers; however there are many that have no such association. Canyons cutting the continental slopes have been found at depths greater than 2 km below sea level. Many submarine canyons continue as submarine channels across continental rise areas and may extend for hundreds of kilometers.	false
00000268	lake bed	The ground surface that lies beneath a lake.	false
00000269	land-tied island	A continental island connected to its adjacent land by a natural feature, such as a causeway.	false
00000270	beaver pond	A pond that has formed as a consequence of the activities of beavers, building a beaver dam.	false
00000271	chott	A dry (salt) lake in the Saharan area of Africa that stays dry in the summer, but receive some water in the winter. This water may come as a groundwater discharge.	false
00000272	confluence	The point where a tributary joins a more major river.	false
00000273	continental slope	The seabed below the end of the continental shelf (the shelf break). The continental slope is much steeper than the shelf; the average angle is 3, but it can be as low as 1 or as high as 10. The slope is often cut with submarine canyons.	false
00000274	continental rise	The continental rise is below the continental slope, but landward of the abyssal plains. Its gradient is intermediate between the slope and the shelf, on the order of 0.5-1. Extending as far as 500 km from the slope, it consists of thick sediments deposited by turbidity currents from the shelf and slope. Sediment cascades down the slope and accumulates as a pile of sediment at the base of the slope, called the continental rise.	false
00000275	ocean trench	Hemispheric-scale long but narrow topographic depressions of the sea floor. They are the deepest parts of the ocean floor.	false
00000276	drumlin	An elongated whale-shaped hill formed by glacial action. Its long axis is parallel with the movement of the ice, with the blunter end facing into the glacial movement. Drumlins are sometimes compared to kames, but their formation is distinctively different. A drumlin is not originally shaped by meltwater, but by the ice itself and has a quite regular shape. It occurs in fine grained material, such as clay or shale, not in sands and gravels. And drumlins usually have concentric layers of material, as the ice successively plasters new layers in its movement.	false
00000277	dry lake	A lake that has either permanently or temporally lost its water.	false
00000278	dry stream	A stream that has either permanently or temporally lost its water.	false
00000279	saline pan	A flat expanse of ground covered with salt and other minerals, usually shining white under the sun. A salt pan is formed where water pools. A saline pan would be a lake or a pond if it were located in a climate where the rate of water evaporation were not faster than the rate of water precipitation, i.e., if it were not in a desert. If the water is unable to drain into the ground, it remains on the surface until it evaporates, leaving behind whatever minerals were dissolved. Over thousands of years, the minerals (usually salts) accumulate on the surface.	false
00000280	escarpment	A transition zone between different physiogeographic provinces that involves an elevation differential, often involving high cliffs. Most commonly a transition from one series of sedimentary rocks to another series of a different age and composition. In such cases, the escarpment usually represents the line of erosional loss of the newer rock over the older.	false
00000281	fault escarpment	An escarpment resulting from a fault.	false
00000282	esker	A long, winding ridge of stratified sand and gravel which occur in glaciated and formerly glaciated regions of Europe and North America.	false
00000283	ridge	A long and narrow upland with steep sides.	false
00000284	quarry	An open-pit mine from which rock or minerals are extracted.	false
00000285	quicksand area	A bed of loose sand mixed with water forming a soft, shifting mass that yields easily to pressure.	false
00000286	polder	An area reclaimed from the sea by diking and draining.	false
00000287	butte	An isolated hill with steep sides and a small flat top, smaller than mesas and plateaus. Buttes are formed by erosion when a cap of hard rock, usually of volcanic origin, covers a layer of softer rock that is easily worn away. This hard rock avoids erosion while the rock around it wears down.	false
00000288	cotton plantation		false
00000289	horst	The raised fault block bounded by normal faults. The raised block is a portion of the Earth's crust that has remained stationary while the land has sunk on either side of it or has been crushed by a mountain range against it.	false
