osd_id|site_name|version|marine_region|start_lat|start_lon|stop_lat|stop_lon|sample_depth|sample_date|water_temperature|salinity|ph|phospahte|nitrate|carbon_organic_particulate|nitrite|carbon_organic_dissolved_doc|nano_microplankton|downward_par|conductivity|primary_production_isotope_uptake|primary_production_oxygen|dissolved_oxygen_concentration|nitrogen_organic_particulate_pon|meso_macroplankton|bacterial_production_isotope_uptake|nitrogen_organic_dissolved_don|ammonium|silicate|bacterial_production_respiration|turbidity|fluorescence|pigment_concentration|picoplankton_flow_cytometry|other_params|remarks
OSD186|SERC Rhode River|6|Brackish river ecosystem branch of Chesapeake Bay Estruary|+38.885507|-76.541600|+38.885507|-76.541600|1.2|2014-06-21|26.8|7.2|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|6.2|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|37.6|not determined|not determined|not determinded|"Note: A phytoplankton bloom was evident during sampling and confirmed with observations by microscope.  Two large dinoflagellates (Prorocentrum minimum and Gymnodinium sanguineum, both HAB species) made up the majority of the this bloom.    This was also evident in the Patapsco river (near Baltimore Maryland) earlier in the week (17th June) when population was calculated at ~24,000 cells/mL during the bloom.   This is very common at this time of the year. "
OSD18|Kyrenia 1|6| Cilicia Basin, Mediterranean Sea|+35.363732|+033.289649|+35.362826|+033.287118|75|2014-06-20|19.7|38.7|8.37|0.03|0.2|will not be measured|0.05|not determined|not determined|not determined|not determined|not determined|not determined|8.02|not determined|not determined|not determined|not determined|0.96|1.13|not determined|not determined|not determined|not determined|not determined|[{"param_name":"Chlorophyll a","param_value":"0.14","uom":"Âµg/L"}]|"none"
OSD175|ZG02|6|Belgian part of the North Sea|51.334817|002.50215|51.334817|002.50215|3|2014-06-24|17.2187|34.2852|not determined|to be measured|to be measured|not determined|to be measured|not determined|not determined|not determined|44.294|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|31.7091|not determined|to be measured|not determined|[{"param_name":"Secchi depth","param_value":"600","uom":"cm"},{"param_name":"Oxygen, SBE 43 [mg/l]","param_value":"6.13143","uom":"mg/l"},{"param_name":"Oxygen, SBE 43 [% saturation]","param_value":"78.36321","uom":"%"},{"param_name":"Oxidation Reduction Potential [mV]","param_value":"142.072","uom":"mV"},{"param_name":"Density [density, Kg/m^3]","param_value":"1024.927","uom":"kg/m3"},{"param_name":"Suspended matter (mg/l)","param_value":"3","uom":"mg/l"},{"param_name":"Sound Velocity [Chen-Millero, m/s]","param_value":"1512.72","uom":"m/s"}]|
OSD174|780|6|Belgian part of the North Sea|51.471567|003.059167|51.471583|003.0592|3|2014-06-25|17.9425|33.3739|not determined|to be measured|to be measured|not determined|to be measured|not determined|not determined|not determined|43.935|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|34.5691|not determined|to be measured|not determined|[{"param_name":"Oxygen, SBE 43 [mg/l]","param_value":"8.81503","uom":"mg/l"},{"param_name":"Oxygen, SBE 43 [% saturation]","param_value":"113.60341","uom":"%"},{"param_name":"Oxidation Reduction Potential [mV]","param_value":"133.211","uom":"mV"},{"param_name":"Density [density, Kg/m^3]","param_value":"1024.0543","uom":"kg/m^3"},{"param_name":"Sound Velocity [Chen-Millero, m/s]","param_value":"1513.82","uom":"m/s"},{"param_name":"Suspended matter (mg/l)","param_value":"5","uom":"mg/l"}]|
OSD173|710|6|Belgian part of the North Sea|51.441017|003.13995|51.441017|003.13995|3|2014-06-25|18.1816|33.1261|not determined|to be measured|to be measured|not determined|to be measured|not determined|not determined|not determined|43.872|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|40.2835|not determined|to be measured|not determined|[{"param_name":"Oxygen, SBE 43 [mg/l]","param_value":"9.25419","uom":"mg/l"},{"param_name":"Oxygen, SBE 43 [% saturation]","param_value":"119.62543","uom":"%"},{"param_name":"Oxidation Reduction Potential [mV]","param_value":"144.9573","uom":"mv"},{"param_name":"Density [density, Kg/m^3]","param_value":"1023.8063","uom":"kg/m^3"},{"param_name":"Sound Velocity [Chen-Millero, m/s]","param_value":"1514.24","uom":"m/s"},{"param_name":"Suspended matter (mg/l)","param_value":"9.9","uom":"mg/l"}]|
OSD172|700|6|Belgian part of the North Sea|51.37485|003.218333|51.37485|003.218333|3|2014-06-25|18.4817|32.3383|not determined|to be measured|to be measured|not determined|to be measured|not determined|not determined|not determined|43.219|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|34.3859|not determined|to be measured|not determined|[{"param_name":"Oxygen, SBE 43 [mg/l]","param_value":"9.50969","uom":"mg/l"},{"param_name":"Oxygen, SBE 43 [% saturation]","param_value":"123.04553","uom":"%"},{"param_name":"Oxidation Reduction Potential [mV]","param_value":"140.4735","uom":"mV"},{"param_name":"Density [density, Kg/m^3]","param_value":"1023.1303","uom":"kg/m^3"},{"param_name":"Sound Velocity [Chen-Millero, m/s]","param_value":"1514.23","uom":"m/s"},{"param_name":"Suspended matter (mg/l)","param_value":"6.4","uom":"mg/l"}]|
OSD171|230|6|Belgian part of the North Sea|51.307333|002.849333|51.307333|002.849333|3|2014-06-25|18.2617|32.8054|not determined|to be measured|to be measured|not determined|to be measured|not determined|not determined|not determined|43.568|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|34.5436|not determined|to be measured|not determined|[{"param_name":"Oxygen, SBE 43 [mg/l]","param_value":"10.0016","uom":"mg/l"},{"param_name":"Oxygen, SBE 43 [% saturation]","param_value":"129.23476","uom":"%"},{"param_name":"Oxidation Reduction Potential [mV]","param_value":"144.1569","uom":"mV"},{"param_name":"Density [density, Kg/m^3]","param_value":"1023.5414","uom":"kg/m^3"},{"param_name":"Sound Velocity [Chen-Millero, m/s]","param_value":"1514.11","uom":"m/s"},{"param_name":"Suspended matter (mg/l)","param_value":"8.6","uom":"mg/l"}]|
OSD170|130|6|Belgian part of the North Sea|51.269517|2.9047|51.2695|2.90465|3|2014-06-25|18.6188|32.2575|not determined|to be measured|to be measured|not determined|to be measured|not determined|not determined|not determined|43.251|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|47.8778|not determined|not determined|not determined|[{"param_name":"Secchi depth","param_value":"0.70","uom":"m"}]|
OSD17|330|6|Belgian Continental Shelf|51.434733|002.810867|51.434733|002.810867|3|2014-06-20|16.6822|34.0252|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|43.472|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|32.8782|not determined|not determined|not determined|not determinded|
OSD17|330|6|Belgian Continental Shelf|51.434733|002.810867|51.434733|002.810867|3|2014-06-20|16.6822|34.0252|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|43.472|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|32.8782|not determined|not determined|not determined|not determinded|
OSD17|330|6|Belgian Continental Shelf|51.434733|002.810867|51.434733|002.810867|3|2014-06-20|16.6822|34.0252|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|43.472|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|32.8782|not determined|not determined|not determined|not determinded|
OSD17|330|5|Belgian part of the North Sea|||||23.43|2014-06-20|16.6822|34.0252|not determined|to be measured|will not be measured|not determined|to be measured|not determined|not determined|not determined|43.472|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|32.8782|not determined|to be measured|not determined|[{"param_name":"Secchi depth","param_value":"m","uom":"6.4"},{"param_name":"Oxygen, SBE 43 [mg/l]","param_value":"8.08784","uom":"mg/l"},{"param_name":"Oxygen, SBE 43 [% saturation]","param_value":"102.2392","uom":"%"},{"param_name":"Oxidation Reduction Potential [mV]","param_value":"190.5017","uom":"mV"},{"param_name":"Density [density, Kg/m^3]","param_value":"1024.8493","uom":"kg/m3"},{"param_name":"Sound Velocity [Chen-Millero, m/s]","param_value":"1510.95","uom":"Chen-Millero, m/s"}]|"no comments"
OSD17|330|6|Belgian Continental Shelf|51.434733|002.810867|51.434733|002.810867|3|2014-06-20|16.6822|34.0252|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|43.472|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|32.8782|not determined|not determined|not determined|not determinded|
OSD17|330|6|Belgian Continental Shelf|51.434733|002.810867|51.434733|002.810867|3|2014-06-20|16.6822|34.0252|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|43.472|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|32.8782|not determined|not determined|not determined|not determinded|
OSD17|330|6|Belgian Continental Shelf|51.434733|002.810867|51.434733|002.810867|3|2014-06-20|16.6822|34.0252|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|43.472|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|32.8782|not determined|not determined|not determined|not determinded|
OSD166|Armintza|6|Southern Biscay Bay, Cantabrian Sea|43.43255|002.89966|43.43287|002.90056|0.5|2014-06-21|17.88|35.05|8.1|2.79|95.15|not determined|0.03347|not determined|not determined|not determined|45.83|not determined|not determined|not determined|not determined|not determined|not determined|not determined||not determined|not determined|not determined|not determined|0.35|not determined|not determinded|"Bottom is seen (7-10 m)\nDisolved oxygen concentration 110,2% or 8,48 mg/l\nSmall jellyfish present on day of sampling, it had rained day before"
OSD165|Loch Ewe, West Coast, Scotland|6|North East Atlantic|+57.8498|-5.6495|+57.8498|-5.6495|2|2014-06-23|99|99|not determined|to be measured|to be measured|not determined|not determined|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|not determined|not determined|not determined|not determined|not determinded|"The temperature and salinity data will be entered at a later date. For the moment a dummy value of 99 has been entered. "
OSD163|Scapa, Orkney Islands|6|North Atlantic|+58.957|-2.9726|+58.957|-2.9726|2|2014-06-20|99|99|not determined|to be measured|to be measured|not determined|not determined|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|not determined|not determined|not determined|not determined|not determinded|"I will enter the temp and salinity data when I recieve it. For the moment I have entered 99 as a dummy value. "
OSD162|Stonehaven monitoring site|6||+56.9631|-2.1031|+56.9631|-2.1031|1|2014-06-23|99|99|to be measured|to be measured|to be measured|not determined|not determined|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determined|to be measured|to be measured|not determined|not determined|to be measured|not determined|to be measured|not determinded|"Environmental data inc temp and salinity to be submitted when analysis completed. 99 used as dummy value here."
OSD159: Brest-SOMLIT|Brest-Somlit station.|6|Iroise Sea|48.359|-4.552|48.359|-4.552|2|2014-09-19|16|34.78|8.1|0.034|0.274|to be measured|0.03|will not be measured|to be measured|1341|not determined|not determined|not determined|239.48|to be measured|to be measured|not determined|not determined|0.285|1.664|not determined|not determined|not determined|to be measured|to be measured|not determinded|
OSD158_SaoMiguel|Ribeira Quente|6|Atlantic|+37.4328|-25.29|+37.4328|-25.29||2014-06-21|19.2|35.7|7.43|to be measured|to be measured|not determined|to be measured|not determined|not determined|not determined|26.9|not determined|not determined|327.5|not determined|not determined|not determined|not determined|to be measured|not determined|not determined|0.4|not determined|not determined|not determined|not determinded|
OSD155|OslofjordSteilene|6|Inner central part of the Oslofjord( sheltered part) nearby RT weather station|59.81618|10.59863|59.81618|10.59863|1|2014-06-21|18.7|30.054|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"Gloves were used in all handling steps. All 2 volumes were kept cool/dark on board until 12:30 UTC .Transport to land was 30 minutes by boat and 15 min by car .Volumes were unless handled kept dark at 4 degrees C some where hand pumped and large volume (6 ) was persitaltically done \nquite a bit of small boat traffic during sampling and the sampling site turbulent hence lack of strata ? shift? \nQuantity is in Liters and time for filtration in minutes \n \n\nNo pre or postfiltering \n100 ml was sampled and stored for later POPS and micro plastics analysis awaiting processing in reference lab "
OSD155|OslofjordSteilene|6|Inner central part of the Oslofjord( sheltered part) nearby RT weather station|59.81618|10.59863|59.81618|10.59863|1|2014-06-21|18.7|30.054|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"Gloves were used in all handling steps. All 2 volumes were kept cool/dark on board until 12:30 UTC .Transport to land was 30 minutes by boat and 15 min by car .Volumes were unless handled kept dark at 4 degrees C some where hand pumped and large volume (6 ) was persitaltically done \nquite a bit of small boat traffic during sampling and the sampling site turbulent hence lack of strata ? shift? \nQuantity is in Liters and time for filtration in minutes \n \n\nNo pre or postfiltering \n100 ml was sampled and stored for later POPS and micro plastics analysis awaiting processing in reference lab "
OSD155|OslofjordSteilene|6|Inner central part of the Oslofjord( sheltered part) nearby RT weather station|59.81618|10.59863|59.81618|10.59863|1|2014-06-21|18.7|30.054|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"Gloves were used in all handling steps. All 2 volumes were kept cool/dark on board until 12:30 UTC .Transport to land was 30 minutes by boat and 15 min by car .Volumes were unless handled kept dark at 4 degrees C some where hand pumped and large volume (6 ) was persitaltically done \nquite a bit of small boat traffic during sampling and the sampling site turbulent hence lack of strata ? shift? \nQuantity is in Liters and time for filtration in minutes \n \n\nNo pre or postfiltering \n100 ml was sampled and stored for later POPS and micro plastics analysis awaiting processing in reference lab "
OSD155|OslofjordSteilene|6|Inner central part of the Oslofjord( sheltered part) nearby RT weather station|59.81618|10.59863|59.81618|10.59863|1|2014-06-21|18.7|30.054|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"Gloves were used in all handling steps. All 2 volumes were kept cool/dark on board until 12:30 UTC .Transport to land was 30 minutes by boat and 15 min by car .Volumes were unless handled kept dark at 4 degrees C some where hand pumped and large volume (6 ) was persitaltically done \nquite a bit of small boat traffic during sampling and the sampling site turbulent hence lack of strata ? shift? \nQuantity is in Liters and time for filtration in minutes \n \n\nNo pre or postfiltering \n100 ml was sampled and stored for later POPS and micro plastics analysis awaiting processing in reference lab "
OSD154 Tes|Tes Time Series Station|6|Arcachon Bay (Bay of Biscay)|44.66666|-001.16666|44.66666|-001.16666|1|2014-06-20|20.7|32.4|to be measured|to be measured|to be measured|to be measured|to be measured|not determined|to be measured|to be measured|to be measured|not determined|not determined|to be measured|not determined|to be measured|not determined|not determined|to be measured|to be measured|not determined|not determined|to be measured|to be measured|to be measured|not determinded|
OSD153|Faro Island |6|Atlantic Ocean|+36.997655|-07.973119|+36.997655|-07.973119||2014-06-21|21.1|34.4|8.15|to be measured|to be measured|to be measured|to be measured|to be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|8.83|will not be measured|will not be measured|will not be measured|will not be measured|to be measured|to be measured|will not be measured|will not be measured|will not be measured|to be measured|will not be measured|not determinded|
OSD152|Compass Buoy Station - Bedford Basin|6|Bedford Basin|+44.6936|-63.6403|+44.6936|-63.6403|1|2014-06-20|12.8|28.9|8.2|not determined|not determined|not determined|not determined|not determined|not determined|2.58|3437|not determined|not determined|294|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|2.2|not determined|not determined|not determinded|"All parameters above are measured weekly as part of the Bedford Basin Monitoring Program; complete metadata from June 18th sampling is available."
OSD152|Compass Buoy Station - Bedford Basin|6|Bedford Basin|+44.6936|-63.6403|+44.6936|-63.6403|1|2014-06-20|12.8|28.9|8.2|not determined|not determined|not determined|not determined|not determined|not determined|2.58|3437|not determined|not determined|294|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|2.2|not determined|not determined|not determinded|"All parameters above are measured weekly as part of the Bedford Basin Monitoring Program; complete metadata from June 18th sampling is available."
OSD152|Compass Buoy Station - Bedford Basin|6|Bedford Basin|+44.6936|-63.6403|+44.6936|-63.6403|10|2014-06-20|8.5|30.1|8.2|not determined|not determined|not determined|not determined|not determined|not determined|2|3218|not determined|not determined|294|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|4.2|not determined|not determined|not determinded|"All parameters above are measured weekly as part of the Bedford Basin Monitoring Program; complete metadata from June 18th sampling is available."
OSD152|Compass Buoy Station - Bedford Basin|6|Bedford Basin|+44.6936|-63.6403|+44.6936|-63.6403|1|2014-06-20|12.8|28.9|8.2|not determined|not determined|not determined|not determined|not determined|not determined|2.58|3437|not determined|not determined|294|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|2.2|not determined|not determined|not determinded|"All parameters above are measured weekly as part of the Bedford Basin Monitoring Program; complete metadata from June 18th sampling is available."
OSD152|Compass Buoy Station - Bedford Basin|6|Bedford Basin|+44.6936|-63.6403|+44.6936|-63.6403|10|2014-06-20|8.5|30.1|8.2|not determined|not determined|not determined|not determined|not determined|not determined|2|3218|not determined|not determined|294|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|4.2|not determined|not determined|not determinded|"All parameters above are measured weekly as part of the Bedford Basin Monitoring Program; complete metadata from June 18th sampling is available."
OSD152|Compass Buoy Station - Bedford Basin|6|Bedford Basin|+44.6936|-63.6403|+44.6936|-63.6403|1|2014-06-20|12.8|28.9|8.2|not determined|not determined|not determined|not determined|not determined|not determined|2.58|3437|not determined|not determined|294|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|2.2|not determined|not determined|not determinded|"All parameters are measured weekly as part of the BBMP; a full data set from June 18 is available."
OSD152|Compass Buoy Station - Bedford Basin|6|Bedford Basin|+44.6936|-63.6403|+44.6936|-63.6403|5|2014-06-20|10.8|29.8|8.2|not determined|not determined|not determined|not determined|not determined|not determined|2.33|3363|not determined|not determined|304|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|3.5|not determined|not determined|not determinded|"All parameters above are measured weekly as part of the Bedford Basin Monitoring Program; complete metadata from June 18th sampling is available."
OSD152|Compass Buoy Station - Bedford Basin|6|Bedford Basin|+44.6936|-63.6403|+44.6936|-63.6403|5|2014-06-20|10.8|29.8|8.2|not determined|not determined|not determined|not determined|not determined|not determined|2.33|3363|not determined|not determined|304|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|3.5|not determined|not determined|not determinded|"All parameters above are measured weekly as part of the Bedford Basin Monitoring Program; complete metadata from June 18th sampling is available."
OSD151 South Atlantioc Microbial Observatory|OSD151 South Atlantioc Microbial Observatory|6|Costal South Atlantic|-34.42|-54.16|-34.42|-54.16||2014-06-14|11.67|32.86|8.16|not determined|to be measured|not determined|to be measured|to be measured|will not be measured|will not be measured|37.5|will not be measured|not determined|696.7|will not be measured|will not be measured|will not be measured|not determined|to be measured|will not be measured|will not be measured||will not be measured|will not be measured|to be measured|not determinded|"We put 1000 as upper size threshold because the platform asks for a numeric value, but we didn't do any prefiltration, so there is no upper threshold."
OSD151 South Atlantioc Microbial Observatory|OSD151 South Atlantioc Microbial Observatory|6|Costal South Atlantic|-34.42|-54.16|-34.42|-54.16||2014-06-21|16.67|32.86|8.16|not determined|to be measured|not determined|to be measured|to be measured|will not be measured|will not be measured|37.5|will not be measured|will not be measured|15.6|will not be measured|will not be measured|will not be measured|not determined|to be measured|will not be measured|will not be measured||will not be measured|will not be measured|to be measured|not determinded|"We put 1000 as upper size threshold because the platform asks for a numeric value, but we didn't do any prefiltration, so there is no upper threshold."
OSD15|Villefranche_PtB-SOMLIT station|6|French part of Mediterranean Sea-Western bassin|41.1666666|18.5833333|41.1666666|18.5833333|50|2014-06-21|16.0522|37.981|to be measured|to be measured|to be measured|to be measured|to be measured|not determined|to be measured|to be measured|not determined|not determined|not determined|5.43573|to be measured|to be measured|not determined|not determined|to be measured|to be measured|not determined|not determined|0.0936|to be measured|to be measured|not determinded|
OSD15|Villefranche_PtB_SOMLIT|6|NW Mediterranea Sea-surface water sample form entreance of  Villefranche Bay|41.1666666|18.5833333|41.1666666|18.5833333|1|2014-06-21|21.778|37.9702|to be measured|to be measured|to be measured|to be measured|to be measured|not determined|to be measured|to be measured|not determined|not determined|not determined|4.84812|to be measured|to be measured|not determined|not determined|to be measured|to be measured|not determined|not determined|0.746|to be measured|to be measured|not determinded|
OSD149 Laguna Rocha Sur|OSD149 Laguna Rocha Sur|6|Costal lagoon periodicaly conected to the Atlantic Ocean|-34.6759|-54.2752|-34.6759|-54.2752||2014-06-21|9.99|18|will not be measured|not determined|to be measured|not determined|to be measured|to be measured|will not be measured|will not be measured|20.94|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|not determined|to be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|to be measured|not determinded|"We put 1000 as upper size threshold because the platform asks for a numeric value, but we didn't do any prefiltration, so there is no upper threshold."
OSD149 Laguna Rocha Norte|OSD149 Laguna Rocha Norte|6|Costal lagoon periodicaly conected to the Atlantic Ocean|-34.37|-54.16|-34.37|-54.16||2014-06-21|10.98|14.3|will not be measured|not determined|to be measured|not determined|to be measured|to be measured|not determined|will not be measured|17.33|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|not determined|to be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|to be measured|not determinded|"We put 1000 as upper size threshold because the platform asks for a numeric value, but we didn't do any prefiltration, so there is no upper threshold."
OSD149 Laguna Rocha Norte|OSD149 Laguna Rocha Norte|6|Costal lagoon periodicaly conected to the Atlantic Ocean|-34.37|-54.16|-34.37|-54.16||2014-06-21|10.98|14.3|will not be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|20940|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSD148 |Wadden Sea|6|Wadden Sea Germany|53.580926|008.148636|53.580926|008.148636||2014-06-21|17.77|31.14|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determined|9.1|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|6.69|not determined|not determined|[{"param_name":"Coloured dissolved organic matter, Fluorescence of water CMFL","param_value":"24.37","uom":"no units. Yet, instrument was calibrated with quinine sulfate."},{"param_name":"Forel Ule number R410","param_value":"17","uom":"none (numbers 1-21)"},{"param_name":"Secchi depth, CFV13N21","param_value":"0.6","uom":"m"}]|"Salinity, Temperature at depth 0.8m by Ferry Box system.\nFluorescence of Chl a and CDOM at surface with microFlu (TriOS) instruments."
OSD146|PS85/455-2, Fram Strait |6|Fram Strait, Arctic Ocean|78.453333|-2.829667|78.453333|-2.829667|5|2014-06-21|-1.6|33.8|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|2.68|not determined|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|not determined|not determinded|
OSD144|MAUNALUA BAY|6|PACIFIC OCEAN-HAWAII|21.26882|157.72231|21.26882|157.72231||2014-06-24|25.8|35|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"IN THE PACKAGE: THE SAMPLE LABELS SAY JUNE 14 AS THE SAMPLING DATE BUT IT WAS ACTUALLY JUNE 24. THE SAMPLES ARE ALL LABELLED THE SAME. REPLICATES ARE IDENTIFIED BY AN EXTRA NUMBER WRITTEN SEPARATELY FROM THE LABEL. EMAIL ME FOR QUESTIONS"
OSD143|SRiMP Time Series|6|Estuarine|31.982820|81.01667|31.982820|81.01667|1|2014-06-21|30.79|26.57|7.53|to be measured|to be measured|to be measured|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|5.85|to be measured|to be measured|not determined|to be measured|to be measured|not determined|not determined|20.4|5.3|4.97|not determined|not determinded|
OSD143|SRiMP Time Series|6|Estuarine|31.982820|81.01667|31.982820|81.01667|1|2014-06-21|30.79|26.57|7.53|to be measured|to be measured|to be measured|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|5.85|to be measured|to be measured|not determined|to be measured|to be measured|not determined|not determined|20.4|5.3|4.97|not determined|not determinded|
OSD142|NDBC 41008|6|Continental Shelf|31.383607|80.866685|31.383607|80.866685|1|2014-06-21|27.43|35.85|7.97||0.3|to be measured||112.21|not determined|not determined|not determined|not determined|not determined|7.99|not determined|not determined|not determined|6.9|0.1|not determined|not determined|0.8325|5.5|not determined|not determined|[{"param_name":"CO2","param_value":"398.42","uom":"uM"}]|
OSD142|Grays Reef NDBC station 41008|6|Continental Shelf|31.383607|80.866685|31.383607|80.866685|1|2014-06-21|27.43|35.85|7.97||0.3|to be measured||112.2|not determined|not determined|not determined|not determined|not determined|7.97|to be measured|not determined|not determined|not determined|0.1|not determined|not determined|0.8325|5.5|not determined|not determined|[{"param_name":"CO2","param_value":"398.42","uom":"uM"}]|
OSD141|Raunefjorden|6|Norwegian fjord|60.12121|511.504|60.12121|511.504|5|2014-06-20|10.13|30.67|7.91|0.2|not determined|not determined|not determined|not determined|980370000000|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.4|not determined|0.59|not determined|not determined|not determined|[{"param_name":"TOC","param_value":"102","uom":"uM"},{"param_name":"TON","param_value":"13.5","uom":"uM"},{"param_name":"Total Nitrate and Nitrite","param_value":"3.9","uom":"uM"}]|"6 filters have been collected for procaryotes. As all the parameters are identical for the six samples, and it is time consuming to fill in the form, we choose to send only one form for all the six samples. Please let us know if you need additional information."
OSD141|Raunefjorden|6|Norwegian fjord|60.12121|511.504|60.12121|511.504|5|2014-06-20|10.13|30.67|7.91|0.2|not determined|not determined|not determined|not determined|980370000000|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.4|not determined|0.59|not determined|not determined|not determined|[{"param_name":"TOC","param_value":"102","uom":"uM"},{"param_name":"TON","param_value":"13.5","uom":"uM"},{"param_name":"Total Nitrate and Nitrite","param_value":"3.9","uom":"uM"}]|"The five filters/cryo tubes are labeled OSD_141_06_14_Raunefjorden_X_5m where X = number 1-5. We hope this is ok. Please let us know if you need any additional information."
OSD14|SOLA Time-Series Station|6|Coastal North-West Mediterranean|+42.49|+03.15|+42.49|+03.14|2|2014-06-23|20.45|37.81|8.278|to be measured|to be measured|to be measured|to be measured|will not be measured|to be measured|will not be measured|51.85|will not be measured|will not be measured|224.06|to be measured|to be measured|2.63|will not be measured|0.074|to be measured|will not be measured|0.44|to be measured|0.26|to be measured|[{"param_name":"Total suspended matter","param_value":"0.37","uom":"mg/L"}]|"Particulate organic carbon/nitrogen, inorganic nutrients and flow cytometry samples are normally analysed in batches from our time-series work.  I will therefore provide these data when they are available (before the end of 2014).\n\nNo unit selection available for quantity.  All samples submitted are filters and I have quoted the volume of seawater filtered in mL.\n\nSome of the samples were not pre-filtered.  However the form requires a numerical entry of an upper threshold.  Technically I guess this is the volumetric dimensions of the Niskin bottle used to collect the sample.  Since the form requires a number in um I have quoted 10000.  Please not however that this refers to the fact that there was no size fractionation on these seawater samples."
OSD136|Jyllinge Harbour|6|Baltic Sea|55.7449|12.0974|55.7449|12.0974|0.1|2014-06-21|17|16.2|8.3|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
